action,actual_profit,ask,bid,date,deal,entry_time,fast_period,order,price,profit,sl,slow_period,symbol,time,tp,trend,trend_time,type,volume,closed,win
DEAL,-0.12,6548.684,6548.522,24/09/2022 01:00,2606724918,M5,8,2630802937,6548.684,992.75,4894.107333333333,34,Volatility 10 Index,1663981234.6197736,9857.837333333333,4,M30,BUY,0.3,True,False
DEAL,-0.17,6548.893,6548.731,24/09/2022 01:00,2606725219,M5,8,2630803238,6548.893,992.75,4894.314666666667,34,Volatility 10 Index,1663981254.7386398,9858.049666666666,4,M30,BUY,0.3,True,False
DEAL,-0.21,6549.002,6548.84,24/09/2022 01:01,2606725889,M5,8,2630803910,6549.002,992.75,4894.4203333333335,34,Volatility 10 Index,1663981308.111605,9858.165333333334,4,M30,BUY,0.3,True,False
DEAL,-0.75,6547.549,6547.387,24/09/2022 01:03,2606727691,M5,8,2630805723,6547.549,992.7,4893.055666666667,34,Volatility 10 Index,1663981437.1404297,9856.535666666667,4,M30,BUY,0.3,True,False
DEAL,-0.61,6547.101,6546.939,24/09/2022 01:05,2606729699,M5,8,2630807738,6547.101,992.68,4892.637666666666,34,Volatility 10 Index,1663981556.175286,9856.027666666667,4,M30,BUY,0.3,True,False
DEAL,-0.58,6547.002,6546.84,24/09/2022 01:06,2606730570,M5,8,2630808618,6547.002,992.67,4892.557000000001,34,Volatility 10 Index,1663981615.8153088,9855.892,4,M30,BUY,0.3,True,False
DEAL,-0.41,6546.408,6546.246,24/09/2022 01:09,2606732820,M5,8,2630810883,6546.408,992.61,4892.061333333333,34,Volatility 10 Index,1663981745.325769,9855.101333333334,4,M30,BUY,0.3,True,False
DEAL,0.11,6544.877,6544.715,24/09/2022 01:09,2606733674,M5,8,2630811748,6544.877,992.42,4890.845333333334,34,Volatility 10 Index,1663981799.7256758,9852.940333333334,4,M30,BUY,0.3,True,False
DEAL,-0.04,6545.388,6545.226,24/09/2022 01:14,2606740216,M5,8,2630818278,6545.388,992.54,4891.132333333333,34,Volatility 10 Index,1663982096.024852,9853.857333333333,4,M30,BUY,0.3,True,False
DEAL,-0.22,8628.71,8628.67,24/09/2022 02:21,2606805240,M5,8,2630883548,8628.71,984.33,6170.897499999999,34,Volatility 10 (1s) Index,1663982479.17141,13550.365,4,M30,BUY,0.2,True,False
DEAL,81.43,216.5894,216.5609,24/09/2022 02:21,2606805234,M5,8,2630883542,216.5894,982.15,52.00953333333334,34,Volatility 50 Index,1663982480.927312,543.9740333333334,4,M30,BUY,3.0,True,False
DEAL,1.31,6542.408,6542.246,24/09/2022 02:21,2606805255,M5,8,2630883563,6542.408,985.17,4906.647333333333,34,Volatility 10 Index,1663982481.508953,9826.292333333335,4,M30,BUY,0.3,True,False
DEAL,-50.8,354819.09,354793.78,24/09/2022 02:21,2606805274,M5,8,2630883581,354819.09,980.9,255820.94,34,Volatility 25 (1s) Index,1663982482.74054,550999.64,4,M30,BUY,0.005,True,False
DEAL,111.73,1733.877,1733.76,24/09/2022 02:21,2606805279,M5,8,2630883586,1733.877,983.92,749.9309999999998,34,Volatility 25 Index,1663982482.742539,3701.718,4,M30,BUY,0.5,True,False
DEAL,-6.68,26247.44,26241.25,24/09/2022 02:21,2606805308,M5,8,2630883616,26247.44,981.22,23774.0875,34,Volatility 100 Index,1663982482.743535,31153.555,4,M30,BUY,0.2,True,False
DEAL,-76.07,548749.41,548609.41,24/09/2022 02:21,2606805291,M5,8,2630883600,548749.41,986.79,59647.189999999886,34,Volatility 75 Index,1663982482.744546,1535540.69,4,M30,BUY,0.001,True,False
DEAL,-17.84,546785.43,546731.09,24/09/2022 02:21,2606805314,M5,8,2630883622,546785.43,983.74,448354.5399999999,34,Volatility 50 (1s) Index,1663982482.745537,743533.24,4,M30,BUY,0.005,True,False
DEAL,0.29,6544.359,6544.197,24/09/2022 01:22,2606747855,M5,8,2630825873,6544.359,992.32,4890.619999999999,34,Volatility 10 Index,1663982576.2052636,9852.08,4,M30,BUY,0.3,True,False
DEAL,-0.54,354224.67,354199.36,24/09/2022 01:22,2606747902,M5,8,2630825922,354224.67,992.62,304642.9,34,Volatility 25 (1s) Index,1663982576.2074258,453486.7,4,M30,BUY,0.01,True,False
DEAL,-0.18,8622.22,8622.18,24/09/2022 01:22,2606747908,M5,8,2630825929,8622.22,992.33,6141.6900000000005,34,Volatility 10 (1s) Index,1663982576.60621,13583.880000000001,4,M30,BUY,0.2,True,False
DEAL,-0.15,215.3385,215.31,24/09/2022 01:22,2606747911,M5,8,2630825932,215.3385,992.29,49.956500000000005,34,Volatility 50 Index,1663982576.84134,546.1025,4,M30,BUY,3.0,True,False
DEAL,-0.09,1740.737,1740.62,24/09/2022 01:22,2606747910,M5,8,2630825931,1740.737,992.19,748.2399999999999,34,Volatility 25 Index,1663982576.8423405,3725.116,4,M30,BUY,0.5,True,False
DEAL,-4.89,552086.34,552032.0,24/09/2022 01:22,2606747914,M5,8,2630825935,552086.34,992.55,502504.01,34,Volatility 50 (1s) Index,1663982576.8453414,651341.81,4,M30,BUY,0.01,True,False
DEAL,0.95,26602.06,26595.87,24/09/2022 01:22,2606747919,M5,8,2630825940,26602.06,992.24,24121.47,34,Volatility 100 Index,1663982577.0532274,31563.24,4,M30,BUY,0.2,True,False
